label,R_mean,G_mean,B_mean,R_std,G_std,B_std,Aspect_Ratio,Area,Perimeter,Homogeneity,Contrast
nail,0.229138491726365,0.2128399437407539,0.2203073982440724,0.2981980042181623,0.2916706277272283,0.2776527402328849,0.0467032967032967,0.1482976040353089,0.3201577567052962,0.2698747067637548,0.1254644932775647
screw,0.0105698896120361,0.0146418209374276,0.0211291870491673,0.0527328984307844,0.0775753218857959,0.0962637927562816,0.019047619047619,0.0061034047919293,0.0747339773439603,0.9394649324090252,0.0823198762595985
screw,0.1659303505304175,0.1738334984778136,0.1891315525693856,0.3231046762605896,0.3551856189150933,0.3538914587823338,0.0599717114568599,0.157780580075662,0.3595211971552988,0.6161251352235905,0.1121655485488875
screw,0.0271143581565282,0.0329155216686982,0.0427464045284664,0.1081416407342206,0.1407878012817371,0.1617052787646338,0.0518095238095238,0.0399495586380832,0.184549989548937,0.8766304488353532,0.1801761287193051
nail,0.0547489212491113,0.0514849262659792,0.0553081960920456,0.1439220901225477,0.1430958065791759,0.1389138162640762,0.0912280701754386,0.0412610340479192,0.1997836692296408,0.7891312069105975,0.0890722215612158
screw,0.1160405563344737,0.1133115942244247,0.123059081344399,0.2680864100644145,0.2796904563769732,0.2754073321651082,0.0234920634920634,0.1577301387137452,0.1769940832951157,0.8013959421171205,0.2274959226073346
nail,0.0178673448208729,0.0171515140993237,0.0178849447249696,0.0743570627340954,0.0778927722873674,0.0736430306335021,0.1170068027210884,0.0122068095838587,0.1003843417725049,0.9394877449919602,0.0285320471165374
plug,0.0948513698853577,0.0912859839626214,0.0973934264876861,0.2225594146302248,0.2282561506281182,0.220974755128334,0.0933797909407665,0.1363934426229508,0.237754091413228,0.8268869023966642,0.1906688754450352
nail,0.0103839416607547,0.0100201757950296,0.0107741769646329,0.0492510102866303,0.0509903644013881,0.0499105738881723,0.0145658263305322,0.0040857503152585,0.0916825083804397,0.9459281537172632,0.1579647998828492
screw,0.1164056594389342,0.1005916379949066,0.1009634295535571,0.3521395149071111,0.3236355127741696,0.2938785746431252,0.069172932330827,0.101639344262295,0.1244807729168484,0.8869433588790715,0.0818126138329321
screw,0.0130085182334576,0.0116182129311005,0.0122387881904516,0.036717380706516,0.0347338725892759,0.0332785855639114,0.0952380952380952,0.0009079445145018,0.0354509953571596,0.865614826366852,0.2037339581369381
screw,0.0519809132166863,0.0476354053255119,0.0502642482528747,0.169511239505526,0.1675869546850063,0.1605050965316251,0.1518367346938775,0.0646658259773013,0.1894474452353436,0.8781120238738404,0.065073100191285
plug,0.3127618070578367,0.2998206055822238,0.3389078726684099,0.6187034048631794,0.6339851084172934,0.6464316600945148,0.0533692722371967,0.237780580075662,0.2462340718111554,0.6793147339137272,0.3978409130430803
screw,0.1354194268325886,0.126405066369838,0.1311478186263666,0.3701503667164341,0.3672135542437449,0.3444545496748987,0.0695238095238095,0.1272635561160151,0.1675681320367223,0.8306779439302038,0.0949204565215401
plug,0.0562151439773025,0.0509311768602839,0.0528984627670357,0.1263557057110322,0.1218377495396119,0.1158746965104461,0.0325123152709359,0.0140731399747793,0.1170914996142894,0.7801434985821268,0.2366341146429192
plug,0.0384757149094367,0.0420545842809467,0.0490430322619,0.1234282837118738,0.1469471384362365,0.155585335152251,0.1523809523809523,0.064968474148802,0.1333435214221302,0.911775782121018,0.0506840684233166
screw,0.1175906117497406,0.1130428652212038,0.1232445026638229,0.2967012106962267,0.3024499129379561,0.2992915652333415,0.0532289628180039,0.1440605296343001,0.1780319443822079,0.8092681784435126,0.1045483383824054
nail,0.001565428136324,0.0027415162003507,0.0037170309850085,0.0166691162999442,0.0311357996313373,0.0365708166130859,0.0603174603174603,0.0032786885245901,0.0424379798746528,0.9800623774190854,0.0203645948691664
screw,0.0872993829688979,0.0749077895116108,0.0715877475915841,0.2464268707453186,0.2278402241203,0.1992138834809637,0.0939682539682539,0.0696595208070618,0.294232693083476,0.8194886684001798,0.2147859529017672
plug,0.0123689876526302,0.0276249575477959,0.0431048877295593,0.0461104580390356,0.1088542774219369,0.1543810960720166,0.0173160173160173,0.045952080706179,0.1260818378067923,0.8901425991823758,0.2161287925243224
screw,0.0606654405613859,0.0617793959271596,0.0675388386275348,0.1810172230860791,0.1935601909440224,0.1917440903045092,0.0777142857142857,0.0768221941992433,0.2361392215841384,0.8518305779701959,0.1179871317304436
plug,0.1464465309098805,0.1304766734273831,0.1366014428505522,0.4195104111631739,0.4008431544200938,0.3823114555785145,0.0157635467980295,0.1172257250945775,0.1750849927361608,0.8458928540157119,0.420291375696726
plug,0.0805433020165688,0.0782206037480291,0.0840417883033832,0.2103388895041578,0.2159109825465125,0.209833837485463,0.0282574568288854,0.1198486759142496,0.2282143549296046,0.8043478362206157,0.4626329980505395
screw,0.0573712703794838,0.0562013089454372,0.0626360870998945,0.1777426827850617,0.1851801255876546,0.1839604222704978,0.1079365079365079,0.0777301387137452,0.2478960743911587,0.8678099381610681,0.0804066592837334
nail,0.0253137354579056,0.0235601206851209,0.024675784838895,0.1405265696214455,0.139354169625276,0.1329540517668065,0.0422360248447204,0.0243631778058007,0.0994797861111995,0.9434272161725012,0.07400217827038
nail,0.0237950099631133,0.0230323505253226,0.0240476582181065,0.0603889770314801,0.0625041840164252,0.0593141514459125,0.1362637362637362,0.0006052963430012,0.0559901397331542,0.8507480965522943,0.1337323290103513
nail,0.1249756603643256,0.1346092659032158,0.202537347346374,0.2772506320763863,0.3191074717931905,0.4291162877982492,0.0571428571428571,0.1401261034047919,0.3167475816379126,0.6751111257508663,0.1392767776242208
nail,0.0782089048470894,0.0634120946533205,0.0636387308673852,0.1641044142229618,0.1400780887129284,0.1256272150619855,0.0230277185501066,0.0453972257250945,0.1326803389555197,0.6869761276593386,0.0890431535497569
nail,0.0272882913951338,0.0274304634347589,0.034413596616284,0.1322627141691944,0.1420657350318179,0.1540445862818075,0.0677248677248677,0.0276923076923076,0.1418373086678213,0.9172462240178793,0.0707894674220444
plug,0.3840082963804365,0.3665694509379516,0.4095449216860286,0.6752443984132005,0.6883661192244153,0.6927321920810716,0.0296103896103896,0.2674401008827238,0.2646032322329432,0.6023913877659351,0.2656388647367312
plug,0.3721352562449402,0.3533532171113394,0.3757717493906053,0.5983003770985382,0.6075496656399084,0.5852624417953499,0.0690737833594976,0.3250441361916771,0.283721749513971,0.5880946863506072,0.2673573187139052
